"Transaction ID","Transaction ID"
"Shipping","Shipping"
"Payment Method","Payment Method"
"Payment Status","Payment Status"
"Loading...","Loading..."
"Your order was not successful.","Your order was not successful."
"We are redirecting you to our secure payment site in Mobbex...","We are redirecting you to our secure payment site in Mobbex..."
"Customer was redirected back. Cancelled payment.","Customer was redirected back. Cancelled payment."
"Invalid order number","Invalid order number"
"View Installments","View Installments"
"Total Refunded", "Total Refunded"
"Card", "Card"
"Payment Source", "Payment Source"
"Source Number", "Source Number"
"Source Installment", "Source Installment"
"Entity", "Entity"
"Entities Data", "Entities Data"
"Entity Name", "Entity Name"
"Entity UID", "Entity UID"
"Risk Analysis", "Risk Analysis"
"Coupon", "Coupon"
"Finnancial Charge", "Finnancial Charge"
"Light", "Light"
"Dark", "Dark"
"Capture", "Capture"
"Plans Configuration", "Plans Configuration"
"The enabled plans will appeared in the checkout for all the products in this category", "The enabled plans will appeared in the checkout for all the products in this category"
"Entity Configuration", "Entity Configuration"
"Fill the product entity UID", "Fill the product entity UID"
"Common Plans", "Common Plans"
"Advanced Plans", "Advanced Plans"
"The enabled plans will appeared in the checkout for this product", "The enabled plans will appeared in the checkout for this product"
"Suscription Mode", "Suscription Mode"
"Turn this product a Mobbex Subscription", "Turn this product a Mobbex Subscription"
"Is subscription", "Is subscription"
"Subscription UID", "Subscription UID"
